,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
0,Look alive,1,22,21,3.57875,3.65659,24
1,陪elo一起过年,2,16,14,3.59019,3.65217,275
2,GideonTeo,3,7,4,3.59319,3.64108,404
3,TH & daishu & Q,4,12,8,3.59375,3.64654,318
4,Evgeny Patekha,5,81,76,3.59422,3.66881,46
5,Lucky stars,6,45,39,3.59707,3.66421,183
6,You'll Never Overfitting Alone,7,3,-4,3.59779,3.63701,399
7,Tom124,8,213,205,3.59791,3.67932,38
8,Karachun Michael,9,88,79,3.59801,3.66928,127
9,[ods.ai] YuryBolkonskiy,10,68,58,3.59904,3.66772,111
10,Stack It All,11,61,50,3.5994,3.6669,386
11,horizon,12,11,-1,3.60001,3.64642,414
12,Loyalty overrated,13,6,-7,3.60046,3.63921,163
13,Skynet,14,9,-5,3.6005,3.64461,386
14,HRed,15,56,41,3.60062,3.66632,225
15,nlgn,16,192,176,3.60065,3.67808,83
16,Boys Anılar,17,29,12,3.60073,3.66006,109
17,是風的追求還是樹的不挽留,18,14,-4,3.60078,3.64758,355
18,hmdhmd,19,246,227,3.60099,3.68106,87
19,monnu,20,74,54,3.60134,3.66802,147
20,Grand Rookie,22,13,-9,3.60146,3.64699,427
21,alijs & go,23,23,0,3.60182,3.65706,362
22,Happy Pepper Pig Year!,24,26,2,3.60184,3.6583,302
23,Leonid,25,335,310,3.60186,3.6835,9
24,Dan Emery,26,165,139,3.6019,3.67675,73
25,[Datawhale] Next in money,27,66,39,3.60205,3.66741,280
26,bangda,28,94,66,3.60232,3.67037,104
27,Xonti,29,448,419,3.60238,3.6863,37
28,FengShuiWorksBest,30,40,10,3.60319,3.66342,55
29,Django Unchained,31,30,-1,3.6032,3.6606,266
30,DVG,32,191,159,3.60335,3.67805,108
31,zhbain,33,290,257,3.60338,3.68272,42
32,Muhammed Buyukkinaci,34,109,75,3.60407,3.6717,16
33,Makotu_with_0.05_friends,35,17,-18,3.60427,3.65395,270
34,Li-Der,36,15,-21,3.60429,3.64867,285
35,Michael Hartman,37,447,410,3.60431,3.68629,34
36,nel215,38,99,61,3.60441,3.67083,120
37,Tsubasa Tanaka,40,122,82,3.60461,3.67335,115
38,Jacques Peeters,41,128,87,3.60472,3.67366,59
