,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
0,Earhian|Venn|Tom|A.L.@KAIL,1,1,0,0.97309,0.97461,353
1,WhaleTao,2,5,3,0.97208,0.97359,200
2,pudae,3,4,1,0.97113,0.97419,158
3,David,4,12,8,0.96783,0.96914,112
4,ZFTurbo & Weimin,5,6,1,0.96781,0.97296,233
5,bestfitting,6,9,3,0.96635,0.97017,251
6,Pure Magic thanks radek,7,15,8,0.9647,0.9665,370
7,S&P Global Alternative Data,8,14,6,0.96299,0.96725,183
8,[ods.ai] BratanNet,9,19,10,0.95981,0.95879,164
9,"Sanakoyeu, Pleskov, Shakhray",10,16,6,0.95946,0.96125,251
10,Nestlogic,11,20,9,0.95934,0.95846,245
11,TerenceLiu,12,22,10,0.95878,0.95814,139
12,Scarfluke 🐋,13,24,11,0.95652,0.95732,257
13,NPU-ASGO,14,23,9,0.95597,0.95764,196
14,Ruslan Grimov,15,18,3,0.95511,0.9592,73
15,Guanshuo Xu,16,25,9,0.9551,0.9561,87
16,shenxing,17,36,19,0.95448,0.94695,46
17,"一杯茶,一包烟,一行代码写一天",18,27,9,0.95375,0.95547,65
18,nabe,19,37,18,0.95149,0.94694,163
19,Costas Voglis,20,29,9,0.95137,0.95369,93
20,tereka,21,28,7,0.95112,0.9546,140
21,Josef Slavicek,22,32,10,0.95021,0.94934,126
22,Call me Ishmael,23,34,11,0.94945,0.94751,188
23,Heng CherKeng,24,38,14,0.94909,0.94687,99
24,"Bartek, daisukelab",25,11,-14,0.94909,0.96963,226
25,Niclas Stoltenberg,26,42,16,0.94885,0.94475,241
26,pi-null-mezon,27,30,3,0.94859,0.95311,287
27,[ods.ai] bobbqe,28,35,7,0.94684,0.9473,407
28,Maciej Sypetkowski,29,40,11,0.94623,0.94509,89
29,Lola,30,43,13,0.94434,0.94451,128
30,4 people,31,41,10,0.94417,0.94499,309
31,klickmal,32,45,13,0.94386,0.94165,99
32,Whale... that's all folks,33,47,14,0.94384,0.94046,250
33,nono,34,48,14,0.94291,0.93985,125
34,Barnacle,35,61,26,0.94257,0.93426,100
35,hui & wang & huang,36,52,16,0.94213,0.93838,278
36,First,37,50,13,0.94177,0.93946,34
37,🐳,38,55,17,0.94148,0.93528,68
38,yelan,39,56,17,0.93979,0.93517,59
39,F.J.Martinez-de-Pison,40,63,23,0.93961,0.93241,90
40,dingwoai,41,62,21,0.93893,0.93349,30
