,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
0,abuurista,1,1221,1220,0.67585,0.68872,31.0
1,Confiniti,2,1077,1075,0.66535,0.69222,6.0
2,ken10ML,3,1090,1087,0.66523,0.6918,40.0
3,John DiMarco,4,1082,1078,0.66474,0.69198,15.0
4,khas_ccip,5,1532,1527,0.66403,0.67811,14.0
5,ThunderBYTE,6,17,11,0.66393,0.7045899999999999,255.0
6,SanderF,7,1283,1276,0.6637,0.68723,57.0
7,Jose,8,1300,1292,0.6634,0.6865100000000001,17.0
8,MapsaTeam,9,461,452,0.66264,0.6974600000000001,37.0
9,aldparis,10,187,177,0.66161,0.69806,60.0
10,youness katraoui,11,859,848,0.6594800000000001,0.69487,11.0
11,ItaiPink,12,48,36,0.6593899999999999,0.7015899999999999,48.0
12,xBuDer,13,489,476,0.65908,0.69745,12.0
13,Jamon Serrano power,14,5,-9,0.6562899999999999,0.70986,91.0
14,"f(data) = {infected, not-infected}",15,1016,1001,0.65572,0.69255,61.0
15,mlandry,16,124,108,0.6554300000000001,0.6988,56.0
16,Dmitry Larko,17,18,1,0.65476,0.70438,62.0
17,Robin Smits,18,139,121,0.65381,0.69852,244.0
18,emorsstuu,19,81,62,0.65363,0.6996100000000001,83.0
19,ozoneiscool,20,78,58,0.65357,0.69967,70.0
20,T.U.V,21,37,16,0.6533100000000001,0.70289,195.0
21,Luke Godfrey,22,1515,1493,0.65317,0.6783899999999999,43.0
22,Andrey Sereda,23,1311,1288,0.65274,0.68597,4.0
23,Kevin Durant is better than Steph Curry,24,13,-11,0.65264,0.70667,442.0
24,finally_overfitting,25,30,5,0.65259,0.7040000000000001,436.0
25,Rebel Alliance,26,612,586,0.6523899999999999,0.6971,23.0
26,[ods.ai] SMPP,27,60,33,0.65217,0.70068,234.0
27,Jeong-Yoon Lee,28,1048,1020,0.65146,0.6925399999999999,10.0
28,holygo1208,29,56,27,0.6513399999999999,0.70116,52.0
29,tofu power,30,4,-26,0.6512399999999999,0.71136,408.0
30,Matt Gerdes,31,1873,1842,0.65105,0.66057,3.0
31,ctr init,32,338,306,0.6509699999999999,0.6975600000000001,31.0
32,PVZ,33,7,-26,0.65088,0.70903,244.0
33,onooooo,34,175,141,0.65068,0.69813,40.0
34,lewis,35,1057,1022,0.6502399999999999,0.69242,12.0
35,AhmetErdem,36,201,165,0.65018,0.69801,27.0
36,Fedor Zaytsev,38,192,154,0.6499699999999999,0.69804,35.0
37,hard_fork,39,1335,1296,0.64995,0.6853199999999999,11.0
38,Korean Zombie,40,11,-29,0.64977,0.70754,170.0
39,ML_Bear,41,52,11,0.64964,0.70122,50.0
40,Andrea,42,661,619,0.6493899999999999,0.69709,19.0
41,FULLMEDAL ALCHEMISTS,43,34,-9,0.6491600000000001,0.70343,60.0
42,Sergiy Kazanin,44,117,73,0.6480199999999999,0.6988800000000001,65.0
43,TheMachine,45,38,-7,0.6479199999999999,0.7027100000000001,45.0
44,Lindada,46,8,-38,0.64735,0.70815,246.0
