,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
0,bestfitting,1,1,0,0.5936899999999999,0.6763600000000001,130.0
1,pudae,3,16,13,0.57008,0.62822,115.0
2,Wienerschnitzelgemeinschaft,4,3,-1,0.56766,0.6533899999999999,498.0
3,vpp,5,5,0,0.56696,0.64658,334.0
4,YaG320,6,12,6,0.56621,0.6373,105.0
5,Guanshuo Xu,7,9,2,0.56335,0.63968,140.0
6,One More Layer (Of Stacking),8,4,-4,0.56309,0.64799,269.0
7,TEAM,9,18,9,0.5602699999999999,0.6262800000000001,270.0
8,conv is all u need,10,14,4,0.55761,0.6346,158.0
9,Ten Epochs,11,10,-1,0.557,0.63956,357.0
10,Arm,12,2,-10,0.5554100000000001,0.65585,283.0
11,zjuyang,13,65,52,0.5545100000000001,0.60093,124.0
12,#finoallafine,14,7,-7,0.55408,0.64285,277.0
13,A team,15,33,18,0.55402,0.6141399999999999,135.0
14,NTU_MiRA,16,11,-5,0.55311,0.63742,174.0
15,sheep,17,30,13,0.5526,0.61769,142.0
16,Maksim Rodin,18,24,6,0.55245,0.62051,99.0
17,RK,20,22,2,0.55133,0.62095,226.0
18,Gold is overrated,21,8,-13,0.55028,0.64139,207.0
19,AgroDesign,22,61,39,0.54891,0.6027600000000001,219.0
20,pete,23,47,24,0.54877,0.60801,157.0
21,[ods.ai] n01z3,24,20,-4,0.54864,0.62366,25.0
22,Soonhwan Kwon,25,35,10,0.54797,0.61351,171.0
23,Maciej Sypetkowski,26,42,16,0.5478,0.61147,91.0
24,eating-bragging-sunning,27,44,17,0.54769,0.6110399999999999,162.0
25,KMen,28,46,18,0.5450699999999999,0.6087899999999999,155.0
26,zhangboshen,29,15,-14,0.54471,0.62921,323.0
27,🇻🇳 Draw me a star,30,25,-5,0.5446300000000001,0.62021,214.0
28,Six Replacements,31,19,-12,0.54398,0.62484,91.0
29,kiwi,32,59,27,0.5439,0.60356,143.0
30,Curtis Kim,33,64,31,0.54379,0.60197,67.0
31,loved.va,34,13,-21,0.54311,0.63521,50.0
32,[ods.ai] Roman Vlasov,35,66,31,0.54267,0.60039,50.0
33,[kaggler-ja] tetramer,36,17,-19,0.54265,0.62722,325.0
34,Cory,37,187,150,0.54242,0.56197,94.0
35,Heng|Tom|Zhijian|A.L.[KentAI],38,31,-7,0.54233,0.6170800000000001,388.0
36,Random Walk,39,41,2,0.5403,0.6116699999999999,170.0
37,Appian,40,26,-14,0.54006,0.6199,103.0
38,Alpha Goose,41,117,76,0.53943,0.5847,87.0
39,Chris J.Liu@makethingswork,42,81,39,0.5390699999999999,0.59378,226.0
40,sblroid,43,34,-9,0.5388,0.61355,30.0
41,Compiègne,44,29,-15,0.5385800000000001,0.6178100000000001,126.0
42,"[ods.ai, mipt-oulu] notvgg16",45,27,-18,0.5384399999999999,0.61839,98.0
43,ShuwenLiu,46,85,39,0.5374800000000001,0.59322,10.0
44,Hank Wang,47,78,31,0.5371100000000001,0.59434,4.0
45,[ods.ai] Ilya Kibardin,48,70,22,0.53657,0.5986600000000001,12.0
46,..,49,23,-26,0.5362899999999999,0.62052,135.0
47,tascj,50,51,1,0.53628,0.60647,50.0
48,Debut,51,91,40,0.5360699999999999,0.59004,2.0
49,emorsstuu,52,37,-15,0.53538,0.61334,160.0
50,Md Yasin Kabir,53,62,9,0.53498,0.6026699999999999,32.0
51,TomomiMoriyama,54,126,72,0.53497,0.5807399999999999,96.0
52,[ods.ai] Jeremy's Witnesses,55,40,-15,0.53459,0.6117600000000001,147.0
53,Jerin,56,48,-8,0.5343,0.60675,210.0
54,YUNFEI DUAN,57,67,10,0.5342899999999999,0.59993,138.0
55,NewBee,58,74,16,0.5333899999999999,0.5966199999999999,96.0
