,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
0,The Zoo,1,7,6,0.71323,0.71123,2
1,takapt,2,4,2,0.71275,0.71333,2
2,Guanshuo Xu,3,19,16,0.71157,0.70897,2
3,KF,4,16,12,0.71143,0.70931,2
4,insincere modeling,5,23,18,0.71134,0.70866,2
5,浪浪浪,6,17,11,0.71106,0.7092,2
6,yufuin,7,33,26,0.7107,0.70762,2
7,Optimal.gr,8,5,-3,0.7105,0.71271,2
8,Q++,9,40,31,0.70999,0.70705,2
9,tks,10,79,69,0.70964,0.70551,2
10,Escachator,11,25,14,0.70902,0.70836,2
11,PoW,12,147,135,0.70899,0.70205,1
12,the private boom,13,104,91,0.70897,0.70319,2
13,mchahhou,14,109,95,0.70831,0.70289,2
14,Great patience,15,105,90,0.70818,0.70315,2
15,the seed is strong,16,195,179,0.70777,0.70084,2
16,ln,17,724,707,0.70774,0.6969,2
17,Toguro,18,107,89,0.70766,0.70308,2
18,[ods.ai] Oleg Yaroshevskyy,19,421,402,0.7075,0.69833,2
19,I Have No Idea,20,687,667,0.7075,0.69729,2
20,"Leak, Stack and Two Smoking Brains",21,46,25,0.70748,0.70653,2
21,SuperTeam bit.ly/2QBpVNv,22,354,332,0.70736,0.69907,2
22,wdzhang,23,120,97,0.70732,0.70255,2
23,"Told ya, trust CV",24,103,79,0.7072,0.70319,2
24,danzell,25,214,189,0.70709,0.70042,2
25,Theo Viel,26,402,376,0.70705,0.69855,2
26,Half the team didn't show up,27,697,670,0.70693,0.69721,2
27,fork一时爽，一直fork一直爽,28,2,-26,0.70682,0.72838,2
28,Data Luu,29,916,887,0.70679,0.6927,2
29,Hiep Nguyen,30,126,96,0.70669,0.70241,2
30,toxu,31,93,62,0.70667,0.70389,2
31,Junsu Choi,32,422,390,0.70664,0.69828,2
32,plan == null,33,408,375,0.70658,0.69843,2
33,blacksix,34,310,276,0.70654,0.69923,2
34,Zhao zhihao&Hao chen,35,86,51,0.70654,0.70503,2
35,Expert Seed Finder,36,364,328,0.70652,0.69897,2
36,Annabelle 0,37,78,41,0.70647,0.7056,2
37,若拿金牌，就娶段奥娟,38,90,52,0.70644,0.7045,2
38,xy,39,111,72,0.70639,0.70278,2
39,Keita Kurita,40,200,160,0.70639,0.7007,2
40,Btbpanda,41,463,422,0.70628,0.69772,2
41,Xy Wang,42,161,119,0.70621,0.70165,2
42,trust your local cv,43,695,652,0.70617,0.69723,2
43,Max Schumacher,44,476,432,0.70598,0.6976,2
44,Tianqi Wang,45,445,400,0.70589,0.69801,2
45,hrappuccino,46,949,903,0.70587,0.69153,2
46,Ilia,47,180,133,0.70576,0.70115,2
47,Ensemble-Practicus,48,122,74,0.7057,0.70248,1
48,BD,49,101,52,0.70568,0.70356,2
49,xucheng,50,97,47,0.70547,0.70371,2
50,Syhens,51,88,37,0.70546,0.70493,2
51,NighTurs,52,374,322,0.70539,0.69876,2
52,atfujita,53,467,414,0.70532,0.69768,2
53,Dick,54,213,159,0.70531,0.70043,2
54,antklen,55,437,382,0.70525,0.6981,2
55,wangfz,56,234,178,0.70521,0.70016,2
56,Single,57,185,128,0.70515,0.70106,2
57,Wenrui Kong,58,262,204,0.70504,0.69953,2
58,bogdan_reptiloid,59,471,412,0.70489,0.69764,1
59,huashuo,60,96,36,0.70484,0.70375,2
60,sakami,61,116,55,0.70473,0.70259,2
61,JinBei Van,62,479,417,0.70473,0.69755,2
62,335,63,215,152,0.7047,0.70041,2
63,cookie monster,64,790,726,0.70469,0.69559,2
64,flowlight,65,178,113,0.70467,0.70119,2
65,bird|Guido|yyll008,66,194,128,0.70466,0.70087,2
66,呆头鹅,67,124,57,0.70463,0.70243,2
67,Disruptive & Insincere,68,320,252,0.70463,0.69911,2
68,No Idea what to believe,69,115,46,0.70462,0.70267,2
69,Leigh,70,852,782,0.70456,0.69437,2
70,Parr,71,237,166,0.70445,0.70006,2
71,hopeless,72,356,284,0.70443,0.69906,2
72,wccc,73,524,451,0.70442,0.69734,2
73,Daniel S.,74,179,105,0.70441,0.70117,2
74,RDizzl3,75,872,797,0.70436,0.69391,2
75,very sincere,76,21,-55,0.70435,0.70891,2
76,lhohoz,77,360,283,0.70434,0.69902,2
77,bobutis,78,708,630,0.7042,0.69713,2
78,这谁顶的住阿,79,455,376,0.70417,0.69782,2
79,grantfrefg,80,186,106,0.70416,0.70105,2
80,Quora Solvers,81,984,903,0.70413,0.69,2
81,Michal Haltuf,82,432,350,0.70413,0.69813,2
82,Alkaid,83,815,732,0.70407,0.69517,2
83,Yakolle Zhang,84,796,712,0.70405,0.69546,2
84,[ods.ai] рвать на BERT'ах,85,106,21,0.70404,0.70309,1
85,安心等戴,86,244,158,0.70402,0.69995,2
86,Terpil Yevhen,87,50,-37,0.70397,0.70617,2
87,Miguel Pinto,88,188,100,0.70391,0.70102,1
88,刷不上去啊,89,720,631,0.70389,0.69699,2
89,Yang Zhang,90,974,884,0.70386,0.69047,1
90,[ods.ai] Crowd,91,39,-52,0.70385,0.70708,2
91,Akvelon,92,196,104,0.70381,0.70078,2
92,今夕何夕,93,847,754,0.70381,0.69449,2
93,Ashish Badal,94,520,426,0.7038,0.69739,2
94,Anastasia Karpovich,95,452,357,0.70377,0.69791,2
95,Shake-up Waiting Club,96,823,727,0.70376,0.6949,2
96,Quora Critic,97,365,268,0.70375,0.69896,2
97,Tomonori Masui,101,763,662,0.70374,0.69612,2
98,Tiago Marques,100,153,53,0.70374,0.70175,2
99,zpf,99,91,-8,0.70374,0.70402,2
100,Riku Suzuki,98,14,-84,0.70374,0.70935,2
101,nzholmes,104,26,-78,0.70371,0.70823,2
102,NKUTsing,103,397,294,0.70371,0.69859,2
103,swimmingpig,105,182,77,0.70368,0.70112,2
104,userhuang,106,362,256,0.70366,0.699,2
105,Dmitriy Kisil,107,212,105,0.70366,0.70046,2
106,gold metal to biaobai,108,845,737,0.70364,0.69462,2
107,YaGana Sheriff-Hussaini,109,419,310,0.70364,0.69834,2
108,AJAY HAYAGREEVE,110,715,605,0.70363,0.69703,2
109,kaiho190,111,319,208,0.70362,0.69914,2
110,Arjun Joshua,112,209,97,0.70361,0.70047,2
111,digimagi,113,899,786,0.7036,0.6932,2
112,ktr.w,115,490,375,0.70358,0.69749,2
113,Chenghao,114,489,375,0.70358,0.69749,2
114,Toru Ito,116,128,12,0.70354,0.70238,2
115,Together_to_the_better,117,197,80,0.70354,0.70078,1
116,emergent complexity,118,711,593,0.70354,0.69709,2
117,Khoi Nguyen,119,727,608,0.70351,0.69682,2
118,郭家銍 from 台科大,120,181,61,0.70351,0.70114,2
119,Amane Suzuki,121,710,589,0.70351,0.6971,2
120,Mahitha,122,587,465,0.70351,0.69729,2
121,kaerururu,124,427,303,0.70348,0.69819,2
122,rerun,125,732,607,0.70348,0.69673,2
123,yin char,123,102,-21,0.70348,0.70319,2
124,MOYU,126,81,-45,0.70347,0.7055,2
125,Vladimir Fomenko,127,760,633,0.70346,0.69618,2
126,ariel,128,739,611,0.70345,0.6966,2
127,Nothing,129,60,-69,0.70343,0.70573,2
128,Dromosys,130,8,-122,0.7034,0.71035,2
129,circle811,131,722,591,0.7034,0.69697,2
130,Spiros,132,151,19,0.70339,0.70184,2
131,Hakim Idjis,133,719,586,0.70339,0.69699,2
132,Slowly climbing,134,581,447,0.70338,0.69729,2
