,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
0,mark4h,1,17,16,0.71899,0.7568,31.0
1,HELLO TANG,2,43,41,0.71501,0.72925,16.0
2,g6gg6g,3,669,666,0.7048800000000001,0.68186,32.0
3,Abs Ran,4,1012,1008,0.7023199999999999,0.57611,27.0
4,Vinicius,5,10,5,0.69672,0.77873,115.0
5,jmgv,6,23,17,0.69147,0.75153,47.0
6,🐢 Jun Koda,7,549,542,0.6905899999999999,0.69434,42.0
7,Single,8,79,71,0.69006,0.71741,36.0
8,ngyope,9,12,3,0.6883699999999999,0.7663800000000001,156.0
9,Maksim Rodin,10,874,864,0.6883100000000001,0.6486,27.0
10,Russ W,11,588,577,0.68784,0.68981,91.0
11,Daniel,12,1045,1033,0.68548,0.54724,3.0
12,Max Halford,13,972,959,0.68333,0.60551,39.0
13,atumari,14,921,907,0.68102,0.63305,23.0
14,David Zabala,15,795,780,0.6785399999999999,0.6654100000000001,48.0
15,Nikos,16,1007,991,0.6781699999999999,0.5815600000000001,3.0
16,Bill,17,904,887,0.67635,0.64168,64.0
17,Gaven Tian,18,719,701,0.67604,0.67618,3.0
18,Lottery Winner,19,21,2,0.6755800000000001,0.75537,168.0
19,MartijnNanne,20,818,798,0.67314,0.66089,6.0
20,The Cleaning Lady,21,1024,1003,0.6727,0.56624,13.0
21,[ods.ai] valilenk,22,26,4,0.6725300000000001,0.743,34.0
22,[ods.ai] Evgeny Nekrasov,23,48,25,0.6723600000000001,0.7258899999999999,17.0
23,bowaer,24,7,-17,0.67211,0.78064,6.0
24,PeterBugata,25,1023,998,0.6721,0.5664399999999999,11.0
25,Michael Kazachok,26,982,956,0.6715899999999999,0.59737,26.0
26,JunRongOng,27,128,101,0.67148,0.70981,55.0
27,YALICKJ,28,1,-27,0.6712100000000001,1.0,26.0
28,NiteshMenon,29,385,356,0.67108,0.69434,17.0
29,Eutune,30,44,14,0.67004,0.72836,9.0
30,Ahmed Mostafa,31,1037,1006,0.66977,0.55233,4.0
31,Jose David Martin,32,863,831,0.66955,0.65189,2.0
32,xyzden,33,163,130,0.6693899999999999,0.70598,19.0
33,这特么也太难了,34,890,856,0.6688,0.64573,6.0
34,Siarhei Fedartsou,35,1069,1034,0.66862,0.5181399999999999,13.0
35,StevenTMHsu德明,36,165,129,0.6685800000000001,0.70523,15.0
36,R ^ 2,37,5,-32,0.66771,0.79306,155.0
37,Theo Viel,38,686,648,0.66718,0.6797,55.0
38,endlessskills,39,161,122,0.66675,0.70638,126.0
39,yushim,40,297,257,0.6665300000000001,0.69824,41.0
40,Bruce Cragin,41,47,6,0.6662600000000001,0.72609,84.0
41,little_snail,42,111,69,0.66619,0.71375,59.0
42,jarbol,43,179,136,0.66606,0.70396,71.0
43,alina_latypowa,44,868,824,0.66602,0.6512600000000001,5.0
44,antklen,45,967,922,0.66552,0.60856,19.0
45,OlegPy,46,1000,954,0.66523,0.58738,99.0
46,One Old Dog,47,981,934,0.66462,0.59825,112.0
47,MA,48,2,-46,0.66422,0.8349,124.0
48,Güner ALPAYDIN,49,782,733,0.66392,0.6676,22.0
49,FedericoSarrocco,50,180,130,0.66328,0.70392,15.0
50,BenDan,51,928,877,0.66292,0.6319600000000001,29.0
51,lHou,52,112,60,0.6626,0.7132,41.0
52,GaborHerth,53,66,13,0.6620699999999999,0.71986,66.0
53,Ern Boi Fan Club,54,14,-40,0.66154,0.7617,144.0
54,hidehumibca,55,829,774,0.6613,0.65877,6.0
55,Siavash,56,92,36,0.66067,0.71496,22.0
56,oooooverfitting,57,3,-54,0.65941,0.81415,170.0
57,Vladislav Zaborovskiy,58,895,837,0.65941,0.64422,4.0
58,Ilya,59,249,190,0.65938,0.6996399999999999,49.0
59,on what is trained we may rely,60,6,-54,0.65899,0.78633,53.0
60,copypaste,61,636,575,0.65869,0.68567,58.0
61,Gredikindon,62,602,540,0.65868,0.68887,68.0
62,dan1234,63,891,828,0.65861,0.64546,12.0
63,Pedro Bernardo,64,825,761,0.65846,0.65897,46.0
64,Mimir,65,912,847,0.65815,0.63815,59.0
65,proef2,66,803,737,0.65808,0.6629999999999999,23.0
